College,Dept,Course Prefix,Course Name,Units,Description,College+Dept,Dept+CourseNum
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-481,Advanced Agricultural Mechanics,2 units,"Advanced shop skills.  Carpentry, electricity, plumbing, surveying, power mechanics, tractor equipment operation and maintenance.  1 lecture, 1 laboratory.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-481
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-485,Cooperative Education Experience in BioResource and Agricultural Engineering,6 units,"Part-time work experience with an approved BioResource and Agricultural Engineering firm engaged in production or related business, industry or governmental agency.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Major credit limited to 4 units; total credit limited to 12 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-485
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-495,Cooperative Education Experience in BioResource and Agricultural Engineering,12 units,"Full time work experience with an approved BioResource and Agricultural Engineering firm engaged in production or related business, industry or governmental agency.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Major credit limited to 4 units; total credit limited to 12 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-495
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-500,Individual Study,1-3 units,"Advanced study planned and completed under the direction of a member of the department faculty.  Open only to graduate students who have demonstrated ability to do independent work.  Enrollment by petition.  Total credit limited to 6 units, repeatable in same term.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-500
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-532,Water Wells and Pumps,4 units,"Water well drilling, design, and development.  Pump characteristics and system head.  Series and parallel operation.  Design of pump intakes.  Variable speed electric drives and engines.  Pump testing.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-532
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-533,Irrigation Project Design,4 units,"Advanced open channel and pipeline controls for unsteady flow.  Social aspects of improved water delivery to customers.  Engineering solutions for modernizing irrigation projects, including open-channel flow measurement, advanced control structure design, determining capacities, and Supervisory Control and Data Acquisition (SCADA) systems.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-533
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-570,Selected Advanced Topics in BioResource and Agricultural Engineering,1-4 units,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 12 units.  1 to 4 seminars.,"College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-570
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-571,Selected Advanced Laboratory in Bioresources and Agricultural Engineering,1-4 units,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 laboratories.,"College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-571
"College of Agriculture, Food and Environmental Science",BioResource and Agricultural Engineering,BRAE-599,Thesis in BioResource and Agricultural Engineering,1-9 units,"Systematic research of a significant problem in bioresource and agricultural engineering.  Thesis will include problem identification, significance, methods, data analysis, and conclusion.  Students must enroll every quarter in which facilities are used or advisement is received.  Degree credit limited to 6 units.","College of Agriculture, Food and Environmental ScienceBioResource and Agricultural Engineering",BioResource and Agricultural EngineeringBRAE-599
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-101,Introduction to the Experience Industry,4 units,"History, philosophy, theory, and organization of the experience industry.  Exploration of the experience industry profession; emphasis upon functions, areas, facilities, clientele, and career opportunities.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-101
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-110,Orientation and College Success in Experience Industry Management,1 unit,"Orientation to Experience Industry Management and Recreation, Parks, and Tourism Administration fields.  Development of two- to four-year plan toward graduation.  Exploration of skills, learning strategies, and problem solving for college success.  Career planning in experience industry management and introduction to professionalism.  Credit/No Credit grading only.  1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-110
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-112,Introduction to Parks and Outdoor Recreation,4 units,"Introduction to park and outdoor recreation systems. History, philosophy, policy, and principles of outdoor recreation, wilderness, park management, environmental education, outdoor education, visitor experiences, and natural resources recreation at the local, regional, national, and international levels. Field trips required. 3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-112
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-114,Introduction to Hospitality and Travel,4 units,"History and development of the hospitality and travel industries. Exploration of different sectors of the hospitality and tourism industries, travel motivations, supply and demand for tourism products and services, trends and issues, and effects of tourism on individuals, cultures and the natural environment. Career opportunities in the hospitality and travel industries. Field trips required. 4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-114
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-121,Theories and Frameworks of Experience Design,4 units,"Foundational knowledge, introductory frameworks, and entry level experience design theory. Human-centered design. Examine experience design in terms of the experience industry as well as broader concepts of experience. Creative tools and processes including design thinking, narrative storyboarding, and experience mapping. 4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-121
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-160,Introduction to Sport Management,4 units,"Introduction to the philosophy, organization, issues and career paths of sport management. Emphasis on ethical decision-making and career opportunities in youth, interscholastic, intercollegiate, professional, and international sport. 4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-160
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-201,Sociocultural Dimensions of Work and Leisure,4 units,"History and theoretical frameworks associated with the interplay between work and leisure in the United States; global perspective examining sociocultural differences and marginalization of groups; issues impacting work-life balance including technology, demography, geography, corporate culture, and career fields. Course may be offered in classroom-based or online format. 4 lectures. Fulfills GE Area D2 (GE Area D2 or GE Area D3 for students on the 2019-20 or earlier catalogs).","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-201
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-203,Resource Law Enforcement,3 units,Law enforcement applied to natural resource conservation on public and private lands. Examination of state and federal laws related to fish and wildlife management. Problems associated with implementation of resource laws examined. 3 lectures. Crosslisted as NR/RPTA 203.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-203
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-210,Experience Design,4 units,"Methods of experience design, program planning, theme creation, execution, and evaluation in experience industry settings.  Interrelationship of built and natural resources with structured and co-created experiences.  Emphasis on experience design, program planning, and scheduling.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-210
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-216,Resort and Lodging Operations,4 units,"Exploration of the technical operations integral to resort and lodging:  food, beverage and restaurant; housekeeping and engineering; sales and catering departments; staff management and state, national, and international classification systems.  Field trips required.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-216
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-221,Professionalism and Customer Experiences,4 units,"Service qualities and behaviors across the experience industry, including recreation, parks, tourism, sport, events, outdoor and community environments.  Professionalism and ethics, developing customer relationships, delivering memorable and meaningful customer experiences, and creating service-focused organizations.  Developing competencies to enhance customer and participant experiences.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-221
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-255,Leadership and Diverse Groups,4 units,"Development and application of leadership skills in recreation activity settings. Emphasis on leadership techniques for working with groups consisting of people from diverse populations, such as people with disabilities or special needs, diverse social and cultural groups, and diversity of ages. 3 lectures, 1 activity. Fulfills GE Area E (GE Area D4 for students on the 2017-19 or earlier catalogs). Formerly RPTA 257.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-255
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-260,Community Relations and Sports-Based Youth Development,4 units,"Philosophy, foundations, policy and techniques underlying community relations and sports-based youth development in public, private and commercial settings.  Methods of program planning, organization, implementation and evaluation with emphasis on program planning and mission development.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-260
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-270,Selected Topics,1-4 units,Directed group study of selected topics.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-270
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-275,Facilitation and Teambuilding,2 units,"Techniques and models used in leadership, facilitation, and teambuilding. Emphasis on leadership and facilitation styles and models, teambuilding and group dynamics, and working with various populations. Field trip required. 2 seminars. Crosslisted as MSL/RPTA 275.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-275
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-302,Environmental and Wilderness Education,4 units,"Education and teaching techniques that apply to learning experiences in an outdoor environment.  Impact of natural resource usage that affects sociological, cultural, biological and physical resources.  Educational strategies for presenting environmental learning to grades K-12 in selected environments.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-302
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-313,Sustainability in the Experience Industry,4 units,"Investigation of the experience industry from a sustainability perspective.  Emphasis on facility design, industry practices, and services provisions in the Experience Industry Management field that sustain social, cultural, heritage, and natural environments while generating economic development.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-313
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-314,Sustainable Travel and Tourism Planning,4 units,"The planning and development of tourism destinations, agencies, and services from a sustainable development perspective.  Emphasis on the economic, social and environmental impacts of tourism.  Examination of alternative forms of tourism.  Emphasis on sustainable tourism.  Travel research and planning models.  Field trips required.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-314
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-317,"Hospitality, Convention and Meeting Management",4 units,"Role of conventions, meetings management, and events in the hospitality and travel industry.  Factors involved in meeting planning for small and large groups to include committees, amenities, operations logistics, venue selection, technology, virtual meetings, registration, catering arrangements, sustainable operations and evaluation.  Field trips required.  Course may be offered in classroom-based or hybrid format.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-317
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-318,Destination Marketing & Management,4 units,"Examination of the development and critical roles that destination management and marketing organizations, destination management companies, and convention and visitors bureaus play in the tourism industry.  Exploration of the major areas of destination management including service, roles and responsibilities, research, and product development.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-318
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-320,Strategic Event Planning,4 units,"Strategy and successful practices in special event planning.  Emphasis on conceptualization, strategy, analysis, and planning considerations of small to large-scale events.  Exploration of event planning and experience management as a profession.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-320
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-321,Visitor Services in Experience Industry Management,1-4 units,"Management issues in meeting the needs of experience industry businesses and organizations.  Topics to include customer satisfaction, service quality, visitor experiences, customer service skills and procedures, and creating a customer focused organization.  The Schedule of Classes will list topic selected.  Total credit limited to 12 units.  1-4 seminars.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-321
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-323,Sport Marketing and the Fan Experience,4 units,"Exploration of professional sports and intercollegiate athletics through the lens of sport marketing and the fan experience.  Development of marketing strategies employed to increase attendance, enhance attendee experiences, and build fan loyalty.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-323
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-325,Leadership in Outdoor Experiences,4 units,"Theoretical principles and experience in leadership, judgment, and decision-making in outdoor and adventure settings.  Field trip required.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-325
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-328,Environmental Leadership and Community Engagement,4 units,"Theories and practices of leadership and community engagement for a wide range of environmental issues.  Development of personal leadership skills and methods for effectively working with non-profit organizations, governmental agencies, community groups, and the private sector to advance sustainability principles.  4 lectures.  Crosslisted as NR/RPTA 328.  Fulfills GE Upper-Division D (GE Area D5 for students on the 2019-20 or earlier catalogs).","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-328
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-330,Directed Field Experience,4 units,Practical work experience in related phases of the experience industry in an organization under qualified supervision.  Minimum of 12 hours per week.  Total credit limited to 8 units.  Credit/No Credit grading only.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-330
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-342,Risk Management for the Experience Industry,4 units,"Legislative and legal aspects of public, private, commercial, and non-profit experience industry organizations.  Emphasis on risk management, including liability, insurance, and negligence.  Understanding of legal foundations and the legislative process.  Field trip may be required.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-342
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-350,Sport and Event Venue Management,4 units,"Management of sport and event venues:  clientele considerations, facility and outdoor area site planning; day-to-day operations of common sport and event venues from sport stadiums to multi-use wineries to city streets (e.g., parades, marathons, etc.).  Field trip required.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-350
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-360,Assessment and Evaluation of Experience Industry Management,4 units,"Evaluation of experience industry programs using a variety of research methodologies.  Needs assessment, program evaluation, research design, and decision making based on data analysis.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-360
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-370,Experiential Marketing Strategies for Experience Industry Management,4 units,"Core principles of experiential marketing within the realm of tourism, hospitality, and destination management; sport and recreation experience management, and event planning and experience management.  Emphasis on strategies to actively engage consumers in experience industry settings.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-370
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-393,Hospitality Sales and Service,4 units,"Hospitality sales and service in the convention and event industry, with emphasis on customer organization characteristics, site selection, sales, and service provision.  Hotel and venue sales, contract negotiation, sales management and catering/event service operations.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-393
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-400,Special Problems for Advanced Undergraduates,1-4 units,"Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 8 units, with a maximum of 4 units per quarter.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-400
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-405,Principles of Experience Industry Management,4 units,"The study, analysis, and practice of management processes as they are applied to experience industry management organizations:  planning, organizing, leading, and controlling.  Emphasis upon application of theories, practices and case studies in experience industry management settings.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-405
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-412,Advanced Experience Industry Management Applications,1-4 units,"Selected topics on aspects of experience industry management.  Field trip may be required.  The Class Schedule will list topic selected.  Total credit limited to 12 units, repeatable in same term.  1 to 4 seminars.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-412
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-413,Tourism and Protected Area Management,4 units,"Practices of tourism and recreation resource management in protected areas.  History and principles of protected areas.  Social, cultural, economic, and environmental benefits of and risks to protected areas and communities.  Environmental stewardship in tourism and recreation resource management worldwide.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-413
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-416,Interpreting Experience Industry Data Analytics,4 units,"Interpretation of data and metrics used in the experience industry.  Exploration of methods to measure customer experiences and translate data into strategic decisions.  Analytics software (CRM, PowerBI) will be used to visualize datasets.  Techniques for interpreting datasets and building compelling presentations.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-416
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-420,Festival and Event Management,4 units,"Management strategies and practices for small to large scale community festivals and events.  Emphasis on sponsorship, marketing, staffing, production, and budgeting.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-420
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-424,Financial Management in the Experience Industry,4 units,"Financing experience industry products and services in public, private, commercial and voluntary settings.  Emphasis on sources and methods of financing; operational/ financial cost analysis; forecasting, budgeting, pricing and fiscal master planning through use of computer technology.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-424
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-450,Resource and Grant Development,4 units,"Explores principles of grant writing and resource development including:  researching grant funding resources from both the private and public sector, preparing grant proposals, grant administration, partnerships, and sponsorships.  4 lectures.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-450
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-460,Senior Project in Experience Industry Management,4 units,"Selection and completion of an individual senior project.  Ability to collect data and/or synthesize and evaluate information and draw conclusions based on that process.  Project results are presented in a formal oral and written report.  Information synthesis and evaluation.  Emphasis on critical thought and analysis of industry trends and issues.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-460
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-461,Senior Project,3 units,"Completion, under faculty supervision, of an investigative project typical of problems which graduates must solve in their fields of employment.  Required minimum of 90 hours.  Analytical, formal report is required.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-461
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-463,Pre-Internship Seminar,1 unit,"Exploration of professionalism, internship opportunities and practices.  Internship selection process and procedures introduced.  Credit/No Credit grading only.  1 seminar.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-463
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-465,Internship,6-12 units,400 hours of full-time concentration-specific practical work experience over a ten-week period in an approved organization.  Comprehensive involvement in organization's programs and services.  Credit/No Credit grading only.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-465
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-470,Selected Advanced Topics,1-4 units,Directed group study of selected topics for advanced students.  Open to under-graduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-470
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-471,Selected Advanced Laboratory,1-4 units,Directed group laboratory study of selected topics for advanced students.  Open to graduate and undergraduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1-4 laboratories.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-471
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-472,Leadership Practice,1 unit,"Tasks associated with development of personal leadership skills.  Study and practice in setting goals and objectives; developing, evaluating and implementing a project independently and as part of a team; decision making and problem-solving emphasized.  Total credit limited to 4 units.  1 laboratory.  Crosslisted as NR/RPTA 472.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-472
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-500,Individual Study,1-6 units,Advanced independent study planned and completed under the direction of a member of the department faculty.  Total credit limited to 6 units.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-500
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-502,"Current Issues in Recreation, Parks and Tourism",4 units,"Societal issues that influence the management and delivery of recreation, parks, and tourism services.  Critical investigation of current research and trends.  4 seminars.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-502
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-527,Leisure Behavior and Theory,4 units,Theories of recreation and leisure; conceptual and theoretical foundations of leisure; the role of leisure behavior in modern day society.  The Class Schedule will list topic selected.  Constructs that contribute to contemporary understanding of leisure behavior.  Connection of theories to individual research.  Total credit limited to 8 units.  4 lectures.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-527
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-539,"Graduate Internship in Recreation, Parks and Tourism",1-9 units,"Application of theory to the solution of problems of recreation, parks and tourism or related businesses in the field.  Analyze specific management problems and perform general management assignments detailed in a contract between the student, the firm or organization, and the faculty advisor before the internship commences.  Degree credit limited to 6 units.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-539
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-570,"Selected Topics in Recreation, Parks and Tourism",1-4 units,Directed group study of selected topics for advanced students.  The Class Schedule will list topic selected.  Total credit limited to 12 units.  1 to 4 seminars.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-570
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-571,"Selected Advanced Laboratory in Recreation, Parks and Tourism",1-4 units,Directed group laboratory of selected topics for advanced students.  The Class Schedule will list topic selected.  Total credit limited to 12 units.  1 to 4 laboratories.,"College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-571
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-581,"Graduate Seminar in Recreation, Parks and Tourism",1 unit,"Group study of selected developments, trends and problems in the field of recreation, parks and tourism.  Total credit limited to 4 units.  1 seminar.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-581
"College of Agriculture, Food and Environmental Science",Experience Industry Management,RPTA-599,"Thesis in Recreation, Parks and Tourism",1-9 units,"Individual research in recreation, parks and tourism management under the general supervision of faculty, leading to a graduate thesis.  Degree credit limited to 9 units.  Students must enroll each quarter advisement is received.","College of Agriculture, Food and Environmental ScienceExperience Industry Management",Experience Industry ManagementRPTA-599
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-101,Orientation to the Food Science and Nutrition Majors,1 unit,Understanding the depth and breadth of the Food Science and Nutrition programs. Emphasis on academic and career planning. Students are required to complete this course within their first year in the major. Separate sections will be offered for each major. Credit/No Credit grading only. 1 lecture.,"College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-101
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-121,Fundamentals of Food,4 units,"Theoretical aspects and practical applications of the principles of culinary science and food preparation. 3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-121
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-125,Introduction to Food Science,4 units,"Basic principles of food science. Chemical, physical, and microbiological properties of foods. Ingredient properties, preservation, and processing. Overview of the commercial food processing industry at state and national levels. Field trip may be required. 3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-125
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-200,Special Problems for Undergraduates,1-4 units,"Individual investigation, research studies, or surveys of selected problems.  Total credit limited to 6 units, with a maximum of 4 units per quarter.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-200
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-201,Enterprise Project,1-4 units,Post-harvest processing of a high quality food product.  Project participation is voluntary and subject to approval by the department head and the Cal Poly Corporation.  Total degree credit for FSN 201 and FSN 401 combined limited to 12 units.  Credit/No Credit grading only.,"College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-201
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-202,Introduction to Human Nutrition,4 units,"Introduction to the science of human nutrition. Nutrient structure, metabolism, function and requirements. Application of nutrition science principles to promote optimal health. Course may be offered in classroom-based or online format. 4 lectures.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-202
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-204,Food Processing Operations,4 units,"Applied food manufacturing and processing technology emphasizing unit operations.  Water removal in foods (dehydration, spray drying, vacuum concentration), heat removal (refrigeration, freezing), and osmotic preservation.  Students produce processed foods in a pilot plant.  Field trip may be required.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-204
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-230,Elements of Food Processing,4 units,"Principles of food processing operations covering thermal processing, freezing, dehydration, fermentation and raw material handling. Overview of food technology, food quality, spoilage, packaging and label requirements. For non-Food Science majors only. Field trip may be required. 3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-230
"College of Agriculture, Food and Environmental Science",Food Science and Nutrition,FSN-244,Cereal and Bakery Science,4 units,"Applied science of cereal-based products.  Theory and practice underlying preparation of doughs, batters, fillings, and glazes.  Chemistry of baking doughs and batters and storage of finished products.  Marketing and product development of breads, cakes, cookies, and pastries.  Comparative nutritional evaluation of flours, grains, and finished products.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceFood Science and Nutrition",Food Science and NutritionFSN-244
